trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
168,False,"{'a': 0.002, 'e': 0.7160537822272085}",25,8,-71.70492483371086,"{0: 9, 1: 4, 2: 3, 3: 0, 4: 1}",1
169,False,"{'a': 0.002, 'e': 0.7146231058160573}",25,0,-160.70136016157167,"{0: 17, 1: 0, 2: 4, 3: 1, 4: 3}",0
170,False,"{'a': 0.002, 'e': 0.7131952878982822}",35,0,-155.67776776652795,"{0: 25, 1: 0, 2: 7, 3: 0, 4: 3}",0
171,False,"{'a': 0.002, 'e': 0.7117703227626097}",25,11,-49.60225199880045,"{0: 8, 1: 3, 2: 1, 3: 2, 4: 0}",1
172,False,"{'a': 0.002, 'e': 0.7103482047091773}",30,0,-138.45799325413319,"{0: 21, 1: 3, 2: 3, 3: 0, 4: 3}",0
173,False,"{'a': 0.002, 'e': 0.7089289280495107}",30,0,-125.89850842628113,"{0: 19, 1: 5, 2: 4, 3: 0, 4: 2}",0
174,False,"{'a': 0.002, 'e': 0.7075124871065016}",25,0,-72.30078036320388,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
175,False,"{'a': 0.002, 'e': 0.7060988762143844}",30,0,-126.23859527478452,"{0: 20, 1: 5, 2: 2, 3: 1, 4: 2}",0
176,False,"{'a': 0.002, 'e': 0.7046880897187134}",30,0,-122.451947369863,"{0: 20, 1: 1, 2: 7, 3: 1, 4: 1}",0
177,False,"{'a': 0.002, 'e': 0.7032801219763409}",20,0,-38.700415808050394,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
178,False,"{'a': 0.002, 'e': 0.701874967355394}",20,0,-65.74607587158683,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
179,False,"{'a': 0.002, 'e': 0.7004726202352524}",20,0,-104.35817235635545,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
180,False,"{'a': 0.002, 'e': 0.6990730750065257}",20,0,-80.592855838855,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
181,False,"{'a': 0.002, 'e': 0.697676326071031}",25,0,-112.91698758914822,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
182,False,"{'a': 0.002, 'e': 0.696282367841771}",20,14,-6.9479398108846455,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 0}",1
